fact_id,timeframe,applies_to,scope,statement,value,unit,period,source_id,quote,verification,checked_on,note
hormuz-closure-date,current,hormuz,status,Shipping through the Strait of Hormuz has been largely blocked by Iran since 28 February 2026.,28 February 2026,,since 2026-02-28,hormuzCrisis,has been largely blocked by Iran since 28 February 2026,auto,2026-09-14,
hormuz-transits-portwatch,current,hormuz,status,"IMF PortWatch recorded 2 transits through Hormuz on 2 August 2026, against a pre-crisis baseline of 73 a day.",73,transits per day,2026-08-02,straitsLive,"PortWatch recorded 2 transits on 2026-08-02, against a pre-crisis baseline of 73 per day",auto,2026-09-14,straits.live is an AI-assisted aggregator; the figure is attributed to IMF PortWatch.
hormuz-transits-lloyds,current,hormuz,status,"Lloyd’s List Intelligence counted 78 transits through Hormuz from 3 to 9 August 2026, down from 95 the week before.",78,transits per week,2026-08-03/09,lloydsHormuz,"Preliminary data show 78 transits during 3 to 9 August, down from 95 the previous week.",auto,2026-09-14,Weekly count; not comparable with the daily PortWatch series.
hormuz-oil-1h25,baseline,hormuz,chokepoint,"20.9 Mb/d of oil flowed through Hormuz in H1 2025, about one-quarter of maritime oil trade.",20.9,Mb/d,H1 2025,eiaChokepoints,"In 1H25, total oil flows through the strait averaged 20.9 million b/d, or the equivalent of about 20% of global petroleum liquids consumption, and one-quarter of total global maritime traded oil.",auto,2026-09-14,
hormuz-crude-1h25,baseline,hormuz|crude-gulf-china|crude-gulf-india|crude-gulf-japan|crude-gulf-korea|crude-gulf-europe-suez|crude-gulf-europe-cape,chokepoint,Crude oil and condensate through Hormuz: 14.7 Mb/d in H1 2025.,14.7,Mb/d,H1 2025,eiaChokepoints,Crude oil and condensate 14.4 14.7 16.2 15.8 14.6 14.7,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
hormuz-products-1h25,baseline,hormuz|products-gulf-europe|products-gulf-eafrica,chokepoint,Petroleum products through Hormuz: 6.1 Mb/d in H1 2025.,6.1,Mb/d,H1 2025,eiaChokepoints,Petroleum products 4.8 5.1 5.6 6.0 6.1 6.1,auto,2026-09-14,"EIA table row; the six columns are 2020, 2021, 2022, 2023, 2024 and H1 2025."
hormuz-lng-1h25,baseline,hormuz|lng-qatar-china|lng-qatar-europe,chokepoint,"11.4 Bcf/d of LNG, over 20% of global LNG trade, transited Hormuz in H1 2025, primarily from Qatar.",11.4,Bcf/d,H1 2025,eiaChokepoints,"In 1H25, 11.4 Bcf/d, or over 20% of global LNG trade, transited the Strait of Hormuz, primarily from Qatar (Table 3).",auto,2026-09-14,
hormuz-crude-asia-89,baseline,hormuz|crude-gulf-china|crude-gulf-india|crude-gulf-japan|crude-gulf-korea,chokepoint,89% of the crude and condensate that moved through Hormuz went to Asian markets in H1 2025 (EIA estimate).,89%,share,H1 2025,eiaChokepoints,We estimate that 89% of the crude oil and condensate that moved through the Strait of Hormuz went to Asian markets in 1H25.,auto,2026-09-14,
hormuz-top4-74,baseline,crude-gulf-china|crude-gulf-india|crude-gulf-japan|crude-gulf-korea,chokepoint,"China, India, Japan and South Korea were the top destinations of Hormuz crude, a combined 74% of flows in H1 2025.",74%,share,H1 2025,eiaChokepoints,"China, India, Japan, and South Korea were the top destinations, accounting for a combined 74% of all Hormuz crude oil and condensate flows in 1H25.",auto,2026-09-14,
iea-hormuz-crude-2025,baseline,hormuz,chokepoint,"In 2025 nearly 15 mb/d of crude, nearly 34% of global crude trade, passed through Hormuz.",34%,share of global crude trade,2025,ieaHormuz,"In 2025, nearly 15 mb/d of crude oil, nearly 34% of global crude oil trade, passed through the Strait of Hormuz",auto,2026-09-14,
