route_id,commodity,sub,name,from_port,to_port,chokepoints,status,status_fact,weight,vessel_class,distance_nm,distance_fact,transit_fact,lead_fact,sellers,buyers,why_it_matters,context_facts,situation
crude-gulf-china,crude,,Persian Gulf → China,rasTanura,ningbo,hormuz|malacca,disrupted,hormuz-transits-portwatch,5,vlcc,,,crude-gulf-china-transit,china-saudi-crude-oct-2025,"Saudi Arabia, the largest crude exporter through Hormuz.","China, one of the four Asian buyers taking most Hormuz crude.","Most crude leaving Hormuz goes to Asia, and this corridor crosses both Hormuz and Malacca.",china-saudi-crude-oct-2025|iea-saudi-2025|hormuz-top4-74|malacca-mideast-eastasia,"Halted: Hormuz has been largely blocked since the end of February 2026, with transits down to a handful a day."
crude-gulf-india,crude,,Persian Gulf → India,basra,vadinar,hormuz,disrupted,iraq-india-collapse,4,vlcc,,,,iraq-india-before,"Iraq, the second-largest crude exporter through Hormuz.","India, which together with China took a large share of the crude leaving the strait.",Iraq was a leading supplier to Indian refiners and has no export outlet that avoids Hormuz.,iraq-india-before|iea-iraq-2025|iea-china-india-44,"Iraqi cargoes to India all but vanished after Hormuz closed; Indian refiners turned to Saudi crude from Yanbu, UAE crude from Fujairah and more Russian barrels."
crude-gulf-japan,crude,,Persian Gulf → Japan,rasTanura,chiba,hormuz|malacca,disrupted,hormuz-transits-portwatch,4,vlcc,6600,crude-gulf-japan-distance,crude-gulf-japan-transit,japan-crude-uae-saudi,"Saudi Arabia and the UAE, which together supply most of Japan’s crude.","Japan, among the importers most reliant on crude passing through Hormuz.",Most of Japan’s crude arrives on this corridor through Hormuz and Malacca.,japan-crude-uae-saudi|iea-japan-korea|iea-saudi-2025,"Blocked at Hormuz. Japan is importing a fraction of its usual volumes, drawing on reserves and on Middle Eastern crude loaded outside the strait at Yanbu and Fujairah."
crude-gulf-korea,crude,,Persian Gulf → South Korea,rasTanura,ulsan,hormuz|malacca,disrupted,hormuz-transits-portwatch,3,vlcc,,,,korea-crude-hormuz-60,"Saudi Arabia above all, then the UAE.","South Korea, one of the four top destinations of Hormuz crude.","Most Korean crude imports transited Hormuz, which makes Korean refiners highly exposed to the strait.",korea-crude-hormuz-60|hormuz-top4-74|iea-uae-2025,Blocked at Hormuz. South Korea has become one of the largest buyers of Saudi crude rerouted through Yanbu on the Red Sea.
crude-gulf-europe-suez,crude,,Persian Gulf → Europe (Suez route),rasTanura,rotterdam,hormuz|babElMandeb|suez,disrupted,hormuz-transits-portwatch,2,vlcc,6436,crude-gulf-europe-suez-distance,crude-gulf-europe-suez-transit,iea-europe-600kb,Saudi Arabia and other Gulf exporters.,"European refiners, which take only a small share of Gulf crude.",This was the default Gulf-to-Europe route until Red Sea attacks pushed tankers away from it.,iea-europe-600kb|gulf-europe-via-suez|suez-crude-row,Halted upstream by the Hormuz closure.
crude-gulf-europe-cape,crude,,Persian Gulf → Europe (via the Cape),rasTanura,rotterdam,hormuz|goodHope,disrupted,hormuz-transits-portwatch,3,vlcc,11169,crude-gulf-europe-cape-distance,crude-gulf-europe-cape-transit,cape-15-days,Saudi Arabia and other Gulf exporters.,European refiners.,"The Cape detour keeps Gulf crude reaching Europe without the Red Sea, at the cost of a much longer voyage.",cape-15-days|iea-europe-600kb|red-sea-houthi-reroute,"Halted upstream: cargoes load inside the Gulf, behind the closed Strait of Hormuz."
crude-yanbu-europe,crude,,Yanbu (Red Sea) → Europe — Hormuz bypass,yanbu,rotterdam,suez,disrupted,ew-pipeline-shut,3,vlcc,,,,saudi-red-sea-shift,"Saudi Arabia, shipping from its Red Sea coast.","European refiners, supplied through the Suez Canal and the SUMED pipeline.","The Red Sea outlet lets Saudi crude avoid Hormuz, and Saudi Arabia already leaned on it during the Red Sea attacks.",saudi-red-sea-shift|petroline-design|suez-crude-row,"The main Hormuz bypass during the war. Once the Houthi blockade threatened Yanbu-to-Asia voyages, Saudi crude was increasingly pumped through SUMED to Egypt’s Mediterranean coast, mostly for Europe and the US — until the East-West pipeline was shut after drone attacks in September 2026."
crude-fujairah-india,crude,,Fujairah → India — Hormuz bypass,fujairah,vadinar,,normal,,2,,,,,uae-india-fujairah-before,"The UAE, loading outside the strait.",Indian refiners.,"Fujairah lets UAE crude avoid Hormuz, but before the war it carried only a secondary share of UAE crude to India.",uae-india-fujairah-before|adcop-capacity|adcop-use,"Since Hormuz closed, almost all UAE crude bound for India loads at Fujairah."
crude-russia-baltic-india,crude,,Russia (Baltic) → India,primorsk,vadinar,danishStraits|suez|babElMandeb,normal,,3,aframax,7000,crude-russia-baltic-india-distance,crude-russia-baltic-india-transit,russia-india-discharges,"Russia, from its Baltic terminals.","India, the main destination of Russia’s western crude since the war in Ukraine.","Russian crude became a major feedstock for Indian refiners, on a long voyage through the Danish Straits and Suez.",russia-india-discharges|russia-west-to-india|russia-top-suez,Indian imports of Russian crude rose again after Hormuz closed.
crude-russia-pacific-china,crude,,Russia (Pacific) → China,kozmino,qingdao,,normal,,4,aframax,,,crude-russia-pacific-china-transit,vortexa-china-18,"Russia, shipping ESPO crude from its Pacific coast.",Chinese refiners.,"A short haul with no chokepoint, and a growing share of Chinese seaborne crude imports.",espo-kozmino-loadings|vortexa-china-18|russia-oil-80-china-india,
